has_login_form,password_input_count,has_submit_button,hidden_input_count,has_urgent_words,has_meta_refresh,form_action_external,label
0,0,0,0,0,0,0,0.0
1,0,1,7,1,0,0,0.0
1,0,1,7,0,0,0,0.0
0,0,0,0,0,0,0,1.0
0,0,0,0,0,0,0,1.0
0,0,0,0,0,0,0,1.0
0,0,0,0,0,0,0,0.0
1,0,1,1,0,0,0,0.0
1,0,0,0,1,0,0,0.0
1,0,1,4,0,0,0,0.0
1,0,0,4,1,0,0,0.0
1,0,1,4,1,0,0,0.0
0,0,1,0,1,0,0,0.0
0,0,0,0,1,0,0,0.0
0,0,0,0,1,0,0,0.0
0,0,0,0,0,0,0,0.0
0,0,0,0,0,1,0,0.0
0,0,0,0,0,1,0,0.0
1,0,1,0,1,0,0,0.0
1,0,1,2,1,0,0,0.0
0,0,0,0,0,0,0,0.0
0,0,0,7,1,0,0,0.0
0,0,0,0,0,0,0,0.0
0,0,0,0,0,0,0,1.0
0,0,0,0,0,0,0,1.0
0,0,0,0,0,0,0,1.0
0,0,0,0,0,0,0,1.0
0,0,0,0,0,0,0,1.0
0,0,0,0,0,0,0,1.0
0,0,0,0,0,0,0,1.0
0,0,0,0,0,0,0,1.0
0,0,0,0,0,0,0,1.0
0,0,0,0,0,0,0,1.0
0,0,0,0,0,0,0,1.0
0,0,0,0,0,0,0,1.0
0,0,0,0,0,0,0,1.0
0,0,0,0,0,0,0,1.0
0,0,0,0,0,0,0,1.0
0,0,0,0,0,0,0,1.0
0,0,0,0,0,0,0,1.0
0,0,0,0,0,0,0,1.0
0,0,0,0,0,0,0,1.0
0,0,0,0,0,0,0,1.0
0,0,0,0,0,0,0,1.0
0,0,0,0,0,0,0,1.0
0,0,0,0,0,0,0,1.0
0,0,0,0,0,0,0,1.0
0,0,0,0,0,0,0,1.0
0,0,0,0,0,0,0,1.0
0,0,0,0,0,0,0,1.0
0,0,0,0,0,0,0,1.0
0,0,0,0,0,0,0,1.0
0,0,0,0,0,0,0,1.0
0,0,0,0,0,0,0,1.0
0,0,0,0,0,0,0,1.0
0,0,0,0,0,0,0,1.0
0,0,0,0,0,0,0,1.0
0,0,0,0,0,0,0,1.0
0,0,0,0,0,0,0,1.0
0,0,0,0,0,0,0,1.0
0,0,0,0,0,0,0,1.0
0,0,0,0,0,0,0,1.0
0,0,0,0,0,0,0,1.0
0,0,0,0,0,0,0,1.0
0,0,0,0,0,0,0,1.0
0,0,0,0,0,0,0,1.0
0,0,0,0,0,0,0,1.0
0,0,0,0,0,0,0,1.0
0,0,0,0,0,0,0,1.0
0,0,0,0,0,0,0,1.0
0,0,0,0,0,0,0,1.0
0,0,0,0,0,0,0,1.0
0,0,0,0,0,0,0,1.0
0,0,0,0,0,0,0,1.0
0,0,0,0,0,0,0,1.0
0,0,0,0,0,0,0,1.0
0,0,0,0,0,0,0,1.0
0,0,0,0,0,0,0,1.0
0,0,0,0,0,0,0,1.0
0,0,0,0,0,0,0,1.0
0,0,0,0,0,0,0,1.0
0,0,0,0,0,0,0,1.0
0,0,0,0,0,0,0,1.0
0,0,0,0,0,0,0,1.0
0,0,0,0,0,0,0,1.0
0,0,0,0,0,0,0,1.0
0,0,0,0,0,0,0,1.0
0,0,0,0,0,0,0,1.0
0,0,0,0,0,0,0,1.0
0,0,0,0,0,0,0,1.0
0,0,0,0,0,0,0,1.0
0,0,0,0,0,0,0,1.0
0,0,0,0,0,0,0,1.0
0,0,0,0,0,0,0,1.0
0,0,0,0,0,0,0,1.0
0,0,0,0,0,0,0,1.0
0,0,0,0,0,0,0,1.0
0,0,0,0,0,0,0,1.0
